starname,ra_act,dec_act,x_act_mx1,x_act_mx2,x_act_mx3,x_act_my3,x_act_my4,x_act_px1,x_act_px2,x_act_px3,x_act_py1,x_act_py2,x_act_py3,x_act_py4,x_img_mx1,x_img_mx2,x_img_mx3,x_img_my3,x_img_my4,x_img_px1,x_img_px2,x_img_px3,x_img_py1,x_img_py2,x_img_py3,x_img_py4,y_act_mx1,y_act_mx2,y_act_mx3,y_act_my3,y_act_my4,y_act_px1,y_act_px2,y_act_px3,y_act_py1,y_act_py2,y_act_py3,y_act_py4,y_img_mx1,y_img_mx2,y_img_mx3,y_img_my3,y_img_my4,y_img_px1,y_img_px2,y_img_px3,y_img_py1,y_img_py2,y_img_py3,y_img_py4,v_global_x,v_global_y,v_global_z,err_mag_mx3,err_r_mx3,err_ang_mx3,err_mag_py3,err_r_py3,err_ang_py3,err_mag_my3,err_r_my3,err_ang_my3,err_mag_px1,err_r_px1,err_ang_px1,err_mag_px3,err_r_px3,err_ang_px3,err_mag_mx2,err_r_mx2,err_ang_mx2,err_mag_my4,err_r_my4,err_ang_my4,err_mag_px2,err_r_px2,err_ang_px2,err_mag_py4,err_r_py4,err_ang_py4,err_mag_py2,err_r_py2,err_ang_py2,err_mag_mx1,err_r_mx1,err_ang_mx1,err_mag_py1,err_r_py1,err_ang_py1
87Vir,206.856,-17.86,,,,,,,,,1103.46,,,,,,,,,,,,1107.97,,,,,,,,,,,,1323.78,,,,,,,,,,,,1321.98,,,,-0.8491511403393833,-0.42997933952252315,-0.30669220473318126,,,79.55544652646424,,,79.55544652646424,,,79.55544652646424,,,79.55544652646424,,,79.55544652646424,,,79.55544652646424,,,79.55544652646424,,,79.55544652646424,,,79.55544652646424,,,79.55544652646424,,,79.55544652646424,4.855934513561705,661.6759715298721,79.55544652646424
89Vir,207.468,-18.134,,,,,,,,,1116.463,,,,,,,,,,,,1120.84,,,,,,,,,,,,1306.815,,,,,,,,,,,,1304.95,,,,-0.8431990226528612,-0.4383432533208894,-0.3112404222868851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.757767753894637,654.2799844867639,
a_car,137.742,-58.967,,,,,,,,129.615,,,,,,,,,,,,132.171,,,,,,,,,,,,1184.994,,,,,,,,,,,,1186.636,,,,,-0.381557494697701,0.3466796702692772,-0.8568705179092108,,,,,,,,,,,,,3.0379763001051177,758.9379663299234,,,,,,,,,,,,,,,,,,,,,,
alpha Aps,221.965,-79.045,,1052.623,1146.891,279.314,484.966,,,,,,1273.356,147.81,,1053.31,1146.45,283.61,483.31,,,,,,1271.48,150.92,,232.871,1228.297,1175.058,221.448,,,,,,434.071,703.727,,235.59,1230.09,1178.22,226.94,,,,,,433.51,709.14,-0.14130338427868894,-0.12707392742816812,-0.981776741708302,1.8464371096789736,609.2497440294907,,1.9580850339042866,606.953870158186,,5.334215968631206,633.875169493174,,,,,,,,2.8044482523305967,600.6712946362594,,5.73623569948105,599.9175524186636,,,,,6.242809383602882,610.6600903939933,,,,,,,,,,
alpha Car,95.988,-52.696,,,,,,,,,,1361.093,,,,,,,,,,,,1360.45,,,,,,,,,,,,563.309,,,,,,,,,,,,561.77,,,-0.06322260542230682,0.602737215767128,-0.7954311729451555,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667923859173433,632.6437033591657,,,,,,,
alpha Cha,124.632,-76.92,,484.226,,,,,,,,933.247,,207.888,,485.94,,,,,,,,936.73,,213.86,,36.431,,,,,,,,1305.997,,1302.095,,38.68,,,,,,,,1306.68,,1304.76,-0.1286134840519992,0.18621326915020692,-0.9740550241708108,,,93.6823347260437,,,93.6823347260437,,,93.6823347260437,,,93.6823347260437,,,93.6823347260437,2.827684034682728,770.9841412117373,93.6823347260437,,,93.6823347260437,,,93.6823347260437,6.539648996696961,771.3828343954771,93.6823347260437,3.5493348672674454,575.1664326957895,93.6823347260437,,,93.6823347260437,,,93.6823347260437
alpha Cir,220.617,-64.979,,1209.458,690.099,277.011,925.782,,,,,,1206.386,472.452,,1209.59,689.88,278.6,923.51,,,,,,1207.34,472.47,,661.583,1229.114,715.677,341.901,,,,,,884.715,381.658,,663.93,1230.4,719.73,343.6,,,,,,883.88,386.55,-0.32105243160070157,-0.27534049392939924,-0.9061528284820344,1.304514085780668,476.01864921450306,128.98792794498357,1.2678095282809507,464.7914048258637,128.98792794498357,4.353358473638482,482.5416695996315,128.98792794498357,,,128.98792794498357,,,128.98792794498357,2.350709041970074,460.12458421605766,128.98792794498357,2.8370028198787995,447.0705650118334,128.98792794498357,,,128.98792794498357,4.892033115178183,470.6144105315943,128.98792794498357,,,128.98792794498357,,,128.98792794498357,,,128.98792794498357
alpha Crv,182.103,-24.729,,,,,,,,,309.554,,,,,,,,,,,,315.43,,,,,,,,,,,,1373.534,,,,,,,,,,,,1377.21,,,,-0.9076847980546555,-0.033330880860861674,-0.4183268575665665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93111477325256,760.7652785189398,
alpha Lup,220.482,-47.388,626.123,1419.405,98.871,266.018,1494.697,,,,934.866,,1127.934,,625.179,1418.46,99.08,264.48,1491.33,,,,932.6,,1132.23,,1381.751,1212.22,1238.202,125.565,489.107,,,,323.434,,1466.84,,1381.68,1214.06,1238.5,131.1,486.21,,,,324.14,,1465.48,,-0.5149558532843673,-0.439534135355637,-0.735955306404772,0.36398488979630206,815.8404111099179,,4.50613093462675,798.3328962907642,,5.74470791250517,799.9570990996955,,,,,,,,2.068483744195148,800.532994448074,,4.4417674410081425,781.193044643896,,,,,,,,,,,0.9466662558685224,636.5140088332699,,2.373434642032465,468.51034097445495,
alpha Men,92.56,-74.753,,,,,,,,,,1195.176,,,,,,,,,,,,1198.42,,,,,,,,,,,,1267.584,,,,,,,,,,,,1266.84,,,-0.011746181223585311,0.26271824208001265,-0.9648010947884805,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3282235501842616,670.8536666069583,,,,,,,
